following,answers_number,last_answers,description,title
0,"
12
","

Aquela historia bonita e edificante das duas ursas que destruiram 42 crianças pq elas chamaram o cara lá de careca

,

A do rico e o Lázaro.

Porque prova que quando morrermos iremos à um lugar intermediário, depois o juízo final.


E em fim ao céu ou o inferno. Fato.

,

Não tem nenhuma história verdadeira na Bíblia

,

O meu livro preferido da bíblia é Jó. Na minha opinião ele foi um homem exemplar. Foi muito
fiél a Deus,nunca questionou os desígnios de Deus. Queria eu ser metade do que Jó foi, passar pelo que passou e nunca blasfemar.

,

A história mais Show e que motiva, é o Apocalipse. Se você ler você vai ter motivação e força para seguir em frente

,

Eu gosto da história do Moisés
e também o nascimento de Jesus

,

Não gosto de mentiras.

,

Mais uma tolice no YR!!

,

As histórias da bíblia todas são reais

","
","
Quais são as história da Bíblia que mais gostas?
"
0,"
11
","

Também queria saber, eu sou sincera e o povo me odeia. 😂

,

Parecem que tem muito contra, eu sou um exemplo kk.

,

Não tenho nada contra, é melhor ser sincero do que mentiroso

,

Nada, tambem sou sincero

,

Nada contra, eu sou é a favor. Quanto mais Transparente e franco for comigo, melhor

,

Nada, afinal é melhor sinceridade do que falsidade...

,

SINCERAS OU ESTILO CUCK E RED QUE TEM RABO PRESO COM O REGIME E SÓ FALA MEIA VERDADE COM DESINFORMAÇÃO?

,

SEI LA PERGUNTA PRA SUA MAE AQUELA CADELA SINCERA

,

Eu amo elas, são pessoas incríveis q admiro muito.

Mas não devemos confundir nunca sinceridade com grosseria.

,

A maioria das pessoas confunde sinceridade com falta de respeito ou grossa.

","
","
O que você tem contra pessoas sinceras?
"
0,"
5
","

Sou um falso evangélico

,

gloria a Jesus?

,

2 PONTOS

ESCOLHA A MELHOR RESPOSTA E GANHE 3 PONTOS

☆┌─┐　─┐☆

│▒│ /▒/

│▒│/▒/

│▒ /▒/─┬─┐

│▒│▒|▒│▒│

┌┴─┴─┐-┘─┘

│▒┌──┘▒▒▒│

└┐▒▒▒▒▒▒┌┘

└┐▒▒▒▒┌

,

Eu ja fui evangélica , sou espírita atualmente

","
","
Quem aqui e evangélico?diga gloria a Jesus?
"
"
1
","
13
","

kkkkkkkkkkkkk incrível a mente humana a capacidade de inventar historias, usam imagens fora do contexto para enganar os trouxas cristãos e cego guiando cego.

,

não

,

Esses vídeos com títulos sensacionalistas não devem ser levados a sério.

,

Talvez

,

Ateus não acreditam em Deus, obviamente nem no anti-Deus, so acreditam no que veem.

,

reptilianos

,

hahahahahahaha cada uma

,

Zzzzzz

,

O que montagem e edição, acompanhadas de sugestão e informações manipuladas pode fazer.

","
https://www.youtube.com/watch?v=Plow6nCYehI
","
Ateus o anti cristo se revelou ao mundo?
"
0,"
4
","

Femea

,

Está difícil de saber. Só dá para ver o ânus dele.

Tem fotos na internet que mostra a diferença.

,

Quero

,

Respondam gente

","
","
Macho ou femea?
"
0,"
15
","

Boa noite, a dieta de 21 dias.

O programa tem o objetivo de, através de uma alimentação adequada, natural e balanceada, resolver todos os problemas que possam estar travando o seu emagrecimento.

Espero ter ajudado, os resultados são garantidos..



https://go.hotmart.com/O6354730P

,

Faça uma alimentação saudável e pratique exercício físicos .

,

Diminuir os carboidratos e,fazer caminhadas.

,

Atletismo

,

Sim, Tem um método testado e comprovado para vc perder peso só com diétas.

perca peso todos os dias

se quiser saber mais segue o link

http://bit.ly/2vZdEfq

,

Quer aprender a fazer biscoitos naturais pro seu cãozinho? Aproveite que esse é o único curso online que te ensina a fazer biscoitos 100% Naturais e Saudáveis para o seu melhor amigo: https://go.hotmart.com/V6378267L


Mais informações: cachorrosincriveis.com.br﻿

,

Método fecha a boca.

,

Olá tem varias maneiras de emagrecer tem os e suplementos naturais >

http://bit.ly/2ie12ek

tem as dietas com sua
alimentação >

http://bit.ly/2w5ABNi

ou fazendo exercícios físicos >

http://bit.ly/2wTo3p7

.

,

https://go.hotmart.com/E6365432P

,

Fechar a boca.

","
","
Gente! Alguém conhece um método rápido e saudável pra emagrecer? Alguma dieta boa?
"
0,"
8
","

Se vc for muito lindo e tiver um bumbum lindo e gostoso
e ficar nu na frente de um tarado do pauzao, é perigoso, pois ele pode te comer ali mesmo!!

,

Você pode ficar nu no psicológo lá era ira te ajudar

,

tem skype?

,

Chega um dia em que se o homem não deixar tudo para trás não vai para a frente.

,

Em casa

,


https://youtu.be/-r1rl9nAQTU


,

Você tem razão em ir na psicóloga. Acho que é mais bi-polar. kkkk

,

Vissh sé loco Praça mó pedofilia

Kkkkkkkk......

😁😁😁😁😁😁😂😂😂😂😂😂😂😂😂😂😂😂😂😁😂😂😂😂😂😁😁😂😁😁😁😂😂

","
Como faco quero ficar nu na frente de todo mundo mas Sei que é crime que rua que as pessoas me vissem nu fosse normal andar nu existe algum lugar que permita as pessoas andarem nuas?quero bater ******* sem me preocupar
","
Tenho doze anos e gostaria de ficar nu?
"
0,"
6
","

Olá

Isso depende de como ele é criado

,

Não, cão feroz depende somente da má criação fornecida pelos donos, tenho PitBull que vive com gatos e coelhos...

E o que mais vejo de 'cão feroz' são os infelizes confinados independente da raça ou porte.

,

acredito que seja do instinto dele mas depende da criação, se vc tem o pitbull desde filhote e cria ele de um jeito calmo e dócil e o torna sociavel vai ser diferente daquele que vive sozinho e está sendo sempre aporrinhado ou preso no canil

,

sim

,

Eu já tive um que era mansinho.

,

tão feroz quanto um salsichinha.

","
","
Pitbull é um cão feroz?
"
0,"
4
","

O meu também :(

,

Tampa o ouvido dele.

,

Antigamente eu dava umas gotas de acepran.

Mas agora precisa de receita de um veterinário, agora a gente não faz nada, deixa rolar, ou coloque algodão no ouvido dele

,

Der chá de eva doce

","
","
Meu cachorro fica apavorado com esses fogos de natal oq posso fzr para acalmar ele?
"
0,"
4
","

Porte pequeno ou médio vai até 20 e normalmente esses são os que morrem sem precisar de muitos tratamentos antes, o organismo apenas falha.

Meu SRD peueno foi até 19 sem problemas de saúde, apenas se foi um dia, antes de ir tinha feito check -up e estava tudo normal.

Mantenha ração para idosos, suplemento geriátrico e muito amor.

,

Alguns cães podem viver até dezenove anos se bem cuidados.

,

O tempo de vida é 15 anos, mas isso depende de alguns fatores, tais como acontece conosco cujo tempo de vida estimado seria por volta de 75 mas não há velhinhos ativos com até quase 100 anos? Normal. Sorte.

,

Quero

","
eu sempre pensei q qualquer raça de cachorro durasse no máximo 15 anos. até quanto duram?
","
Meu cachorro vira-lata completou 16 anos ontem. e ele caminha e pula e não tem nenhuma doença. é normal isso?
"
0,"
11
","

algumas sim

principalmente doces

,

melhor dar ração

,

Olha o ideal para cães e a Racao específica pois a curto prazo a comida pode parecer não causar dano ao que seu cão pode sofrer com alguma carência de vitamina que contém na racao

,

A maioria faz mal, pode causar problemas e pode fazer os pelos cairem

,

Se c=for cozida para pessoas, sim, pois tem muitos temperos. Se for cozida sem óleo e sem tempero nenhum (sal, cebolinha...) e observado algumas regras (do que pode e do que não pode), pode dar.

,

EM médio prazo sim

,

Faz, eles enchem de lombrigas !

,

a longo prazo sim, a gente dava da nossa comida pro cachorro, ai ele teve problema no figado e o veterinario proibiu comida temperada, gordurosa e etc pra ele

,

Faz cair os pelos.

,

Depende da comida

","
","
Comida de gente faz mal pra cachorro?
"
0,"
5
","

Por que ele não conhece outros cães, não socializa, não passeia...

,

Porque ele vive MALANDRAMENTE

,

Porque tem fofura

,

Porque vc não dá carinho e não brinca o suficiente com ele >.>

,

Porque você não dá atenção pra ele ou não sai com ele de casa.

","
","
Pq meu cachorro é carente??
"
0,"
4
","

Gorgulho é o nomo dele, ele gosta de feijão ou milho

,

Besouro

,

Aah vc achou minha amiga

","
Esse bicho está por todo lugar da minha casa! Ele é do tamanho de uma pulga.
","
Que bicho é esse?
"
0,"
7
","

Ah que graçinha, que bonitinho.., qual o nome?

,

oh parece que sim, é fofinho kkkkk se vc ver que nao se desenvolve leva ele no veterinario, mais por enquanto pra mim parece normal sim!!

,

Acho que sim.

,

Tá sim <3

,

Ola, você que tem um gatinho pequeno e quer que ele tenha uma vida longa e saudável visite esse link http://bit.ly/gatosaudavel8vidas e fique atento a algumas coisas para cuidar bem do seu bichinho de estimação.

Abraço.

,

sim, os meus tem 3 meses e parecem uns ratinhos. ^^

,

estaaaaaaaaaa normal, que lindoooooooooooo ♥

","
","
Ta normal o crescimento dele só tem 2 meses de vida?
"
0,"
6
","

que po.rr a é essa?

,

Femea

,

Fêmea

,

Quero

,

Fêmea

,

Respondam gente

","
","
Macho ou femea?
"
0,"
11
","

Vc ser vegana o que tem a ver com ter um cachorro

,

Fica

,

o que o cachorrinho tem haver com isso?

,

fica com ele !
afinal de contas
ele é o
principal inocente de toda convicção humana

,

Fica

,

Fique

,

Fica com ele uai

,

Claro, doida.

,

claro que deve ficar com o filhote, e tratar muito bem, ele não é vegano portanto de ração pra ele a base de carne!

Ele vai ser o seu melhor amigo!

,

Ok! Obrigada, gente!

","
","
Sou vegana, mas ganhei um cachorrinho que foi comprado, e pior com a cauda cortada! Devo ficar com o filhotinho? O que eu faço? Me ajudem!?
"
0,"
11
","

Sim.

,

Sim

,

Lógico

,

Claro que sim, aliás isso pode acontecer na natureza. Quando um leão expulsa outro do comando do bonde, ele às vezes come os filhotes do ex-líder

,

O leão quando encontra uma leoa com filhotes que não sejam seus, MATA E COME OS FILHOTES para que a leoa entre no cio mais cedo e ele acasale com ela.

,

sim

,

Sim

,

Claro!

,

Como dizem aqui no Sul, ""é fera comendo fera""...kkkkk




É o veneno da lata!

,

Nao

","
","
Se um leão devorar outro leão, é canibalismo?
"
0,"
5
","

Tem que dar comidinha pra elas tbm em u.u


Elas gostam de grilos, que tem bastante nectar pra elas tomar.


Só não me vai dar baratas pra elas, porque se não o aquário vai ficar podre. Você pode falar pra alguem pegar pra você, pois nao precisa dizer que o comércio desses bichos seria ilegal né?.

,

Esse tipo de comércio deve ser proibido pelo IBAMA

,

Uma coletânea de pensamentos deve ser uma farmácia onde se encontrem remédios para todos os males.

Em arte, o impossível verosímil é preferível ao possível não acreditável.

,

É que esse Brasil é uma baita ***** de se viver !

Que mal tem criar uma aranha de estimação ?

Mas o pior é que já procurei mas não acho essas aranhas em lugar nenhum !

,

O maior castigo para o mentiroso é não ser acreditado, nem quando fala a verdade.

Rezo a Deus, não pedindo cargas mais leves e sim ombros mais fortes.

","
","
Alguém sabe como posso comprar uma aranha tarântula ou caranguejeira pela internet ???
Quero criar uma já comprei um aquário?
"
0,"
8
","

m mais avermelhado? Gov't is killing you at night with high frequency electricity. Theotokos Virgin Mary gave prayers to ""Schema-nun Antonia"" on how to save aborted babies from hell. If you pray these prayers diligently, aborted babies are released from hell. On each painted nail there are 40 demons. Smoking is censer to the devil. Using foul language calls upon Pagan deities (aka demons); Holy Spirit departs on 7 meters. People who use drugs see demons who cleverly disguise themselves as ghosts and aliens. America will be last country to switch to Euro (antichrist's world currency). Contraceptives = abortion; using contraceptives for 1 year = 5 aborted kids. Miscarriages happen because of high heels; cesarean because of tight pants (second generation cesarean will be infertile). Unbaptized aborted/miscarried/unborn babies burn in hell for 33 and a half years; if pregnant, keep the kid and deliver at home because kids are chipped using IVs and vaccines in hospitals. Dentists and doctors chip patients secretly. Ultrasound leads to mark of the beast; don't do ultrasound, please. Abortion leads to breast cancer; a demon is released from hell for each aborted kid. Dogs can become possessed; don't keep dogs inside you home [Pelageya of Ryazan]. Walmart has technology to administer mark of the beast to those who have cat bacteria in their stomachs; stay away from cats [Afanasiy Sidyachiy]. Next false flag is the Statue of Liberty. Above earth there is ice (hemisphere); when rockets go up they bring ice down from upper sky to lower sky; ice stuck in lower sky will fall on us during Apocalypse. Earth is flat; earth stands on 3 pillars (the Most Holy Trinity); pillars stand on water at zero Kelvin; underneath this ice there is a bubble; and then the abyss. Zodiac is planetary prison of demons; don't believe in horoscopes or you'll exhibit the traits of the trapped demons. Most thoughts and dreams are from demons; demons never do good. Sleep fully clothed; pray the Jesus prayer. Pray to your guardian angel to have normal sleep. Vyacheslav Krasheninnikov was the last prophet before Apostle John (who wrote the Book of Revelation), Enoch, Elijah, resurrected Seraphim of Sarov, and resurrected Sergius of Radonezh will preach against the antichrist. Humans were created about 7525 years ago. Birds participate in time creation. It's a sin to kill birds. Dinosaurs live under our level; they will get out through sinkholes and lakes; to kill them, go for their nerves. Save the birds; but kill the dinosaurs. First dinosaur will come out of Volga River in Russia. Scientists don't see dinosaurs under our level because of radiation. Sinkholes happen because people dig for resources underground and because earth is heating up. Demons grow human skin (from a sample taken during abduction) and put it on so as to look like us. Demons will invite people to be healed inside their UFOs; those who go will be like zombies after. Gov't provides demons with diamonds and allows demons to abduct people. If you're being abducted, slowly pray the Jesus prayer. Don't panic. Demons use diamonds and souls to power their UFO craft. The bigger the diamond, the more it lasts. Demons have 4 UFO bases: 1)moon 2)inside fake mountain Kailash in Tibet 3)in lake Baikal in Russia 4)in Atlantis which is underneath the Mariana Trench in Pacific Ocean. There are no aliens. Nobody lives on other planets. Airplanes that go down are hit by demons because they need the airspace to fight Jesus. Antichrist is pale with red eyes. He's possessed by Satan since he's 12 years old [Lavrentiy Chernigovskiy]. He flies super fast; deceived people will say: ""Christ is here; Christ is there"" when he's flying from one city to the next very fast. He wears gloves to hide long nails. He's surrounded by demons who appear as angels of light. Antichrist will trick people that he can do mountain moving and resurrection using holograms; fire from the sky is real because of pollution gases in the atmosphere. Antichrist will have food only for 6 months; then he will feed his 666ed people flour from mashed up turtles (Tavrion Batozskiy), but this won't be enough because 666ed people are 10 times as angry and 7 times as hungry as normal people even though 666ed people became shorter (3-4 feet tall = 80 - 120 cm) because nanochips do function of organs (organs diminish) [Nilus Myrrhgusher]. If you have a lot of nanochips in your forearm, then you will not be able to make proper Orthodox sign of the cross (last mercy for you will be to cut your forearm off). Nanochips are sprayed by the gov't using chemtrails; they're also in gov't food and medicine; so, eat food from your own garden. In case garden is destroyed by ice from the sky, have chickens for eggs and goats for milk (Paisios). Lipstick contains cells of aborted fetuses, dog fat, and placenta; human flesh is in McDonalds, Pepsi, toothpaste, antiaging, anticancer, vaccines, perfume, etc.; that's why you should not be using anything that modern society has to offer. You're better off hiding within a 10-12 people group in order to escape Apocalypse. During Apocalypse, Chrtistians will eat dirt from under pussywillowtree as it's filled with tears of Theotokos Virgin Mary; this water will flee if a 666ed person tries to get it. Barcode is Druid black magic curse; QRcode is Mayan curse; when food is scanned, it becomes dead because laser is a substance from demons. Don't go into a UFO to be healed by demons. Green 666 is given by isotope rays on wrist or forehead when people stretch hands to receive small plastic grey card with no name on it (World Passport). It doesn't just have to be during this procedure (could be anything you sign up for or anywhere where there is a secret scanner); biometrics (fingerprints, eyes scan) or getting picture for passport are very dangerous because they could mark you secretly. Gabriel Urgebadze said that they do it on index finger when they scan your finger. Basically, try to avoid new documents at all cost. Police will microchip and isotope ray people on highways. Chipped people will be influenced by computers to take grey plastic card; but when they do, green mark by isotope rays is given on forehead/wrist. Food stores will isotope ray people too. Antichrist will also release prisoners to mark people. Reject 666 at all cost because it leads to permanent hell. If you're about to be marked, pray the Jesus prayer. Hide with Orthodox Christians to escape 666; leave all electronics behind so that antichrist's minions can't track you; burn documents because they're from Satan. The Most Holy Trinity gives you a name during baptism; devil gives an antiname during antibaptism (ex. Social Security Number). People who die with these Satanic documents go to concentration camp in hell to await Final Judgement; once the BEAST Computer is burned down, souls will be released for Final Judgement. That's why you should give back documents of your deceased relatives back to the gov't so that the gov't cancels these digital antichristian names given during antibaptism by the beast system; or just burn these documents because gov't could get upset and could send demons to mark you because of this outright act of defiance. Prophecy from half a millenium ago describes Final Judgement like this: Jesus was very upset with people who had little boards (plastic cards) in their hands because they wanted discount from the antichrist. Give to charity in the name of Archangel Michael; he rescues people from temporary hell twice a year [at midnight between September 18 and September 19 and similarly on November 20-21; pray at these times on your knees remembering the deceased by names (adding ""and relatives by flesh up to Adam"") so that they are rescued if they're in hell] (or brings them up a level, that is, to a level with less punishment; eventually, people are freed). Feed the pigeons; when pigeons bow down, people are saved from temporary hell. It's a big sin to remember the dead with wreaths (because demons put these wreaths on their necks if they're in hell with their hands tied up behind their back while hanging by their hands), meat, alcohol, sweets, and worldly music. Demons print icons on saints in newspapers so that you throw these newspapers in the trash blaspheming these saints. Crosses on soles of shoes and back of pants are blasphemy. Demons make carpets with crosses and put them on sidewalks so that people walk on crosses. Playing cards mock how Jesus suffered on the cross: clubs (cross on which Jesus was crucified), diamonds (four nails Jesus was crucified with), hearts (sponge with vinegar that Jesus was given to drink), spades (spear with which Jesus was pierced). Cremation is devil worship; only blasphemers such as Lenin should be burned; if Lenin is buried, earth will be polluted, and China will attack Russia because of this. After China attacks Russia, Ruski Orthodox Tsar (shown by resurrected Seraphim of Sarov) will come to power in Russia; this Tsar will slay traitors inside church and gov't; as a result, Russia will be the only country not under the antichrist. Ecumenism has 263 heresies; each heresy leads to hell. In 2006 in Moscow (that's why Moscow will sink), representatives from most religions signed a document where it says that all religions worship the same Supreme Being [aka the devil]. Priests who participate in ecumenism will have Pagans walking on their heads in hell. Arkhimandrite Antonin Kapustin left a prophecy that John the Baptist's living space will become a church and it will be blessed by forerunner of antichrist; Patriarch Kirill of Russia blessed this church. When priests pray for current gov't (instead of praying for future Tsar), Jesus gets up from His throne and turns His back to them. Forgive me.

,

Nao sei, mas se nao e sujeira de bicho ( o que serio uo ne..?
cade a higiene ai?)
n mexe pq tem um ser vivo dentro, deixa nascer.

,

Kkkkkk nossa mais ri kkk coco de rato não é.

,

Pode ser casulo, ovinho de aranha, coco de lagartixa...

,

Siga as instruções da outra resposta, tocar nisso é perigoso.

,

E bom não tocar e tira as fezes, vc pode pegar uma doença

,

Que português lixo

,

Sou feliz 😁

","
, parece mesmo um casulo de algum outro bicho. Alguém faz ideia do que podera ser?
","
Encontrei na minha cozinha algo semelhante a cocó de rato, mas oco por dentro e dum tom mais avermelhado?
"
